traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
軛,轭,è,e4,e,4,'eak,'-,-eak,ru,ʔɛk⁴,*qˤ<r>[i]k,part of a yoke,0844e,"53517,08",159,4,U+8EDB
阨,阨,è,e4,e,4,'eak,'-,-eak,ru,ʔɛk⁴,*qˤ<r>[i]k,a narrow pass,0844h,"64116,08",170,4,U+9628
搤,搤,è,e4,e,4,'eak,'-,-eak,ru,ʔɛk⁴,*qˤ<r>[i]k,grasp,0849e,"31936,05",64,10,U+6424
隘,隘,è,e4,e,4,'eak,'-,-eak,ru,ʔɛk⁴,*qˤ<r>[i]k,a narrow pass,0849h,"64152,15",170,10,U+9698
餓,饿,è,e4,e,4,ngaH,ng-,-a,qu,ŋa³,*ŋˤaj-s,hungry,0002o,"74456,02",184,7,U+9913
愕,愕,è,e4,e,4,ngak,ng-,-ak,ru,ŋak⁴,*N-qʰˤak,scared,0788h,"42328,08",61,9,U+6115
咢,咢,è,e4,e,4,ngak,ng-,-ak,ru,ŋak⁴,*[ŋ]ˤak,beat a drum,0788g,"10615,06",30,6,U+54A2
遌,遌,è,e4,e,4,ngak,ng-,-ak,ru,ŋak⁴,*ŋˤak,unexpectedly come across,0788i,"63858,05",162,9,U+904C
諤,谔,è,e4,e,4,ngak,ng-,-ak,ru,ŋak⁴,*ŋˤak,speak frankly,0788k,"63998,05",149,9,U+8AE4
恩,恩,ēn,en1,en,1,'on,'-,-on,ping,ʔon¹,*ʔˤə[n],"kindness, favor",0370j,"42290,18",61,6,U+6069
而,而,ér,er2,er,2,nyi,ny-,-i,ping,ȵi¹,*nə,"and, but",0982a,"42810,01",126,0,U+800C
兒,儿,ér,er2,er,2,nye,ny-,-je,ping,ȵe¹,*ŋe,child,0873a,"10272,05",10,6,U+5152
爾,尔,ěr,er3,er,3,nejX,n-,-ej,shang,nej²,*nˤ[ə][r]ʔ,numerous,0359a,"10027,01",89,10,U+723E
耳,耳,ěr,er3,er,3,nyiX,ny-,-i,shang,ȵi²,*C.nəʔ,ear,0981a,"42783,01",128,0,U+8033
耳,耳,ěr,er3,er,3,nyiX,ny-,-i,shang,ȵi²,*nəʔ,Err:501,0981a,"42783,01",128,0,U+8033
餌,饵,ěr,er3,er,3,nyiH,ny-,-i,qu,ȵi³,*[C.]nə(ʔ)-s,bait,0981h,"74449,13",184,6,U+990C
尔,尔,ěr,er3,er,3,nyeX,ny-,-je,shang,ȵe²,*n[ə][r]ʔ,you(r),0359-,"10562,03",42,2,U+5C14
爾,尔,ěr,er3,er,3,nyeX,ny-,-je,shang,ȵe²,*n[ə][r]ʔ,(adv. suffix),0359a,"10027,01",89,10,U+723E
爾,尔,ěr,er3,er,3,nyeX,ny-,-je,shang,ȵe²,*n[ə][r]ʔ,you(r),0359a,"10027,01",89,10,U+723E
邇,迩,ěr,er3,er,3,nyeX,ny-,-je,shang,ȵe²,*n[ə][r]ʔ,near,0359c,"63891,11",162,14,U+9087
二,二,èr,er4,er,4,nyijH,ny-,-ij,qu,ȵij³,*ni[j]-s,two,0564a,"10002,01",7,0,U+4E8C
貳,贰,èr,er4,er,4,nyijH,ny-,-ij,qu,ȵij³,*ni[j]-s,two,0564g,"63629,02",154,5,U+8CB3
發,发,fā,fa1,fa,1,pjot,p-,-jot,ru,pjot⁴,*Cə.pat,"fly forth, send forth",0275c,"42761,04",105,7,U+767C
乏,乏,fá,fa2,fa,2,bjop,b-,-jop,ru,bjop⁴,*[b](r)[o]p,lack (v.),0641a,"10034,03",4,4,U+4E4F
罰,罚,fá,fa2,fa,2,bjot,b-,-jot,ru,bjot⁴,*[b][a]t,punish,0308a,"42923,03",122,9,U+7F70
伐,伐,fá,fa2,fa,2,bjot,b-,-jot,ru,bjot⁴,*m-pat,cut; strike; attack,0307a,"10120,08",9,4,U+4F10
法,法,fǎ,fa3,fa,3,pjop,p-,-jop,ru,pjop⁴,*[p.k]ap,"model, law",0642k,"31579,04",85,5,U+6CD5
灋,灋,fǎ,fa3,fa,3,pjop,p-,-jop,ru,pjop⁴,*[p.k]ap,"model, law",0642l,"31793,11",85,18,U+704B
髮,髮,fà,fa4,fa,4,pjot,p-,-jot,ru,pjot⁴,*pot,root; hair (of head),0276i,"74521,12",190,5,U+9AEE
番,番,fān,fan1,fan,1,phjon,ph-,-jon,ping,pʰjon¹,*pʰar,"a turn, a time",0195b,"42543,04",102,7,U+756A
蕃,蕃,fān,fan1,fan,1,pjon,p-,-jon,ping,pjon¹,*par,"hedge, screen, fence",0195m,"53293,13",140,12,U+8543
藩,藩,fān,fan1,fan,1,pjon,p-,-jon,ping,pjon¹,*par,"hedge, screen, fence",0195s,"53322,1",140,15,U+85E9
笲,笲,fán,fan2,fan,2,bjenH,b-,-jen,qu,bjen³,*[b]ro[n]-s,basket,0220f,"52961,02",118,5,U+7B32
凡,凡,fán,fan2,fan,2,bjom,b-,-jom,ping,bjom¹,*[b]rom,in every case,0625a,"10276,03",16,1,U+51E1
煩,烦,fán,fan2,fan,2,bjon,b-,-jon,ping,bjon¹,*[b]a[n],troubled,0264a,"32216,05",86,9,U+7169
燔,燔,fán,fan2,fan,2,bjon,b-,-jon,ping,bjon¹,*[b]ar,"burn, roast",0195i,"32235,08",86,12,U+71D4
蕃,蕃,fán,fan2,fan,2,bjon,b-,-jon,ping,bjon¹,*[b]ar,luxuriant (growth),0195m,"53293,13",140,12,U+8543
繁,繁,fán,fan2,fan,2,bjon,b-,-jon,ping,bjon¹,*[b]ar,"abundant, numerous",0265b,"53444,03",120,11,U+7E41
反,反,fǎn,fan3,fan,3,baenX,b-,-aen,shang,bæn²,*[b]ˤranʔ,"dignified, grand",0262a,"10391,03",29,2,U+53CD
反,反,fǎn,fan3,fan,3,pjonX,p-,-jon,shang,pjon²,*Cə.panʔ,reverse (v.),0262a,"10391,03",29,2,U+53CD
返,返,fǎn,fan3,fan,3,pjonX,p-,-jon,shang,pjon²,*Cə.panʔ,return,0262e,"63820,01",162,4,U+8FD4
範,範,fàn,fan4,fan,4,bjomX,b-,-jom,shang,bjom²,*[b](r)omʔ,casting mold,0626d,"52989,09",118,9,U+7BC4
范,范,fàn,fan4,fan,4,bjomX,b-,-jom,shang,bjom²,*[b](r)omʔ,(surname),0626e,"53196,03",140,5,U+8303
范,范,fàn,fan4,fan,4,bjomX,b-,-jom,shang,bjom²,*[m-pʰ](r)omʔ,bee,0626e,"53196,03",140,5,U+8303
飯,饭,fàn,fan4,fan,4,bjonX,b-,-jon,shang,bjon²,*bo[n]ʔ,eat,0262i,"74444,05",184,4,U+98EF
飯,饭,fàn,fan4,fan,4,bjonH,b-,-jon,qu,bjon³,*bo[n]ʔ-s,cooked rice or millet,0262i,"74444,05",184,4,U+98EF
汎,汎,fàn,fan4,fan,4,bjuwng,b-,-juwng,ping,bjuwŋ¹,*[b](r)[u]m,float about; universally,0625f,"31553,02",85,3,U+6C4E
泛,泛,fàn,fan4,fan,4,phjomH,ph-,-jom,qu,pʰjom³,*pʰ(r)[o]m-s,to float,0641b,"31569,02",85,5,U+6CDB
芳,芳,fāng,fang1,fang,1,phjang,ph-,-jang,ping,pʰjaŋ¹,*[pʰ]aŋ,fragrant,0740s,"53184,06",140,4,U+82B3
方,方,fāng,fang1,fang,1,pjang,p-,-jang,ping,pjaŋ¹,*C-paŋ,square,0740a,"32172,01",70,0,U+65B9
方,方,fāng,fang1,fang,1,pjang,p-,-jang,ping,pjaŋ¹,*paŋ,method,0740a,"32172,01",70,0,U+65B9
方,方,fāng,fang1,fang,1,pjang,p-,-jang,ping,pjaŋ¹,*paŋ,"just, then",0740a,"32172,01",70,0,U+65B9
匚,匚,fāng,fang1,fang,1,pjang,p-,-jang,ping,pjaŋ¹,*paŋ,"container, box (Shuōwén)",0741a,"10081,03",22,0,U+531A
房,房,fáng,fang2,fang,2,bjang,b-,-jang,ping,bjaŋ¹,*[Cə-N-]paŋ,side-room,0740y,"32260,04",63,4,U+623F
坊,坊,fáng,fang2,fang,2,bjang,b-,-jang,ping,bjaŋ¹,*[b]aŋ,dike,0740x,"10427,01",32,4,U+574A
魴,鲂,fáng,fang2,fang,2,bjang,b-,-jang,ping,bjaŋ¹,*[b]aŋ,bream,0740b',"74679,06",195,4,U+9B74
防,防,fáng,fang2,fang,2,bjang,b-,-jang,ping,bjaŋ¹,*[m-p]aŋ,dike,0740z,"64118,01",170,4,U+9632
妨,妨,fáng,fang2,fang,2,phjang,ph-,-jang,ping,pʰjaŋ¹,*pʰaŋ,oppose,0740q,"21033,04",38,4,U+59A8
舫,舫,fǎng,fang3,fang,3,pangH,p-,-ang,qu,paŋ³,*pˤaŋ-s,boat,0740g,"53058,03",137,4,U+822B
紡,纺,fǎng,fang3,fang,3,phjangX,ph-,-jang,shang,pʰjaŋ²,*pʰaŋʔ,"twist, spin",0740r,"53376,1",120,4,U+7D21
髣,髣,fǎng,fang3,fang,3,phjangX,ph-,-jang,shang,pʰjaŋ²,*pʰaŋʔ,phjangX-phjut seem,0740u,"74520,08",190,4,U+9AE3
訪,访,fǎng,fang3,fang,3,phjangH,ph-,-jang,qu,pʰjaŋ³,*pʰaŋ-s,"enquire, scrutinize",0740t,"63950,08",149,4,U+8A2A
放,放,fǎng,fang3,fang,3,pjangX,p-,-jang,shang,pjaŋ²,*paŋʔ,imitate,0740i,"21451,11",66,4,U+653E
昉,昉,fǎng,fang3,fang,3,pjangX,p-,-jang,shang,pjaŋ²,*paŋʔ,"just then, at that time",0740j,"21496,02",72,4,U+6609
瓬,瓬,fǎng,fang3,fang,3,pjangX,p-,-jang,shang,pjaŋ²,*paŋʔ,pottery,0740m,"21423,02",98,4,U+74EC
旊,旊,fǎng,fang3,fang,3,pjangX,p-,-jang,shang,pjaŋ²,*paŋʔ,pottery,0740n,"32177,04",70,6,U+65CA
舫,舫,fǎng,fang3,fang,3,pjangH,p-,-jang,qu,pjaŋ³,*paŋ-s,boat,0740g,"53058,03",137,4,U+822B
放,放,fàng,fang4,fang,4,pjangH,p-,-jang,qu,pjaŋ³,*paŋ-s,release; let go,0740i,"21451,11",66,4,U+653E
妃,妃,fēi,fei1,fei,1,phj+j,ph-,-j+j,ping,pʰjɨj¹,*pʰ[ə][j],consort; match,0581a,"21027,11",38,3,U+5983
飛,飞,fēi,fei1,fei,1,pj+j,p-,-j+j,ping,pjɨj¹,*Cə.pə[r] (dialect: *-r > *-j),fly (v.),0580a,"74513,01",183,0,U+98DB
扉,扉,fēi,fei1,fei,1,pj+j,p-,-j+j,ping,pjɨj¹,*pə[j],wooden door-leaf,0579d,"32264,08",63,8,U+6249
非,非,fēi,fei1,fei,1,pj+j,p-,-j+j,ping,pjɨj¹,*pəj,is not,0579a,"64086,01",175,0,U+975E
肥,肥,féi,fei2,fei,2,bj+j,b-,-j+j,ping,bjɨj¹,*[b][ə]r,fat (adj.),0582a,"32055,01",130,4,U+80A5
朏,朏,fěi,fei3,fei,3,phj+jX,ph-,-j+j,shang,pʰjɨj²,*pʰ[ə]jʔ,new light of the moon,0530a,"32065,01",74,5,U+670F
誹,诽,fěi,fei3,fei,3,pj+j,p-,-j+j,ping,pjɨj¹,*pə[j],slander,0579g,"63985,03",149,8,U+8AB9
匪,匪,fěi,fei3,fei,3,pj+jX,p-,-j+j,shang,pjɨj²,*pəjʔ,bamboo basket,0579c,"10087,01",22,8,U+532A
匪,匪,fěi,fei3,fei,3,pj+jX,p-,-j+j,shang,pjɨj²,*pəjʔ,bandit,0579c,"10087,01",22,8,U+532A
蜚,蜚,fěi,fei3,fei,3,pj+jX,p-,-j+j,shang,pjɨj²,*pəjʔ,noxious insect,0579r,"42861,08",142,8,U+871A
吠,吠,fèi,fei4,fei,4,bjojH,b-,-joj,qu,bjoj³,*Cə.bo[t]-s,bark (v.),0348a,"10587,02",30,4,U+5420
昲,昲,fèi,fei4,fei,4,phj+jH,ph-,-j+j,qu,pʰjɨj³,*pʰ[u]t-s,bake in the sun,0500r,"21504,05",72,5,U+6632
費,费,fèi,fei4,fei,4,phj+jH,ph-,-j+j,qu,pʰjɨj³,*pʰ[u]t-s,squander,0500s,"63635,07",154,5,U+8CBB
肺,肺,fèi,fei4,fei,4,phjojH,ph-,-joj,qu,pʰjoj³,*pʰo[t]-s,lung,0501g,"32047,02",130,4,U+80BA
祓,祓,fèi,fei4,fei,4,phjut,ph-,-jut,ru,pʰjut⁴,*pʰut,CHECK,0276o,"42391,03",113,5,U+7953
沸,沸,fèi,fei4,fei,4,pj+jH,p-,-j+j,qu,pjɨj³,*Nə.p[u][t]-s,boil (v.),0500q,"31597,01",85,5,U+6CB8
疿,疿,fèi,fei4,fei,4,pj+jH,p-,-j+j,qu,pjɨj³,*pu[t]-s,prickly heat,0500-,"42669,08",104,5,U+75BF
廢,废,fèi,fei4,fei,4,pjojH,p-,-joj,qu,pjoj³,*[p-k]ap-s,cast aside,0275f,"20903,1",53,12,U+5EE2
廢,废,fèi,fei4,fei,4,pjojH,p-,-joj,qu,pjoj³,*pat-s,great,0275f,"20903,1",53,12,U+5EE2
祓,祓,fèi,fei4,fei,4,pjojH,p-,-joj,qu,pjoj³,*po[t]-s,expel noxious influences,0276o,"42391,03",113,5,U+7953
𦐈,𦐈,fēn,fen1,fen,1,pjun,p-,-jun,ping,pjun¹,*(Cə.)pə[r],"fly (v.), soar",0471e,"53343,09",124,4,U+26408
饙,饙,fēn,fen1,fen,1,pjun,p-,-jun,ping,pjun¹,*pu[r],to steam rice,0437j,"74472,07",184,13,U+9959
分,分,fēn,fen1,fen,1,pjun,p-,-jun,ping,pjun¹,*pə[n],divide,0471a,"10321,03",18,2,U+5206
焚,焚,fén,fen2,fen,2,bjun,b-,-jun,ping,bjun¹,*[b]u[n],burn (v.),0474a,"32208,09",86,8,U+711A
賁,贲,fén,fen2,fen,2,bjun,b-,-jun,ping,bjun¹,*[b]ur,"great, big",0437a,"63630,04",154,5,U+8CC1
粉,粉,fěn,fen3,fen,3,pjunX,p-,-jun,shang,pjun²,*mə.pənʔ,flour,0471d,"53143,07",119,4,U+7C89
憤,愤,fèn,fen4,fen,4,bjunX,b-,-jun,shang,bjun²,*[b]urʔ,unhappy,0437n,"42352,11",61,12,U+61A4
分,分,fèn,fen4,fen,4,bjunH,b-,-jun,qu,bjun³,*[m]-pə[n]-s,alloted duty,0471a,"10321,03",18,2,U+5206
奮,奋,fèn,fen4,fen,4,pjunH,p-,-jun,qu,pjun³,*(Cə.)pə[r]-s (W dialect),spread wings and fly,0473a,"10550,03",37,13,U+596E
糞,粪,fèn,fen4,fen,4,pjunH,p-,-jun,qu,pjun³,*p[u]r-s,"manure, dirt",0472a,"53158,07",119,11,U+7CDE
豐,丰,fēng,feng1,feng,1,phjowng,ph-,-jowng,ping,pʰjowŋ¹,*pʰ(r)oŋ,"luxuriant, abundant (K)",1014a,"63569,02",151,11,U+8C50
豐,丰,fēng,feng1,feng,1,phjowng,ph-,-jowng,ping,pʰjowŋ¹,*pʰ(r)oŋ,a kind of ritual vessel,1014a,"63569,02",151,11,U+8C50
蜂,蜂,fēng,feng1,feng,1,phjowng,ph-,-jowng,ping,pʰjowŋ¹,*pʰ(r)oŋ,bee,1197s,"42857,07",142,7,U+8702
鋒,锋,fēng,feng1,feng,1,phjowng,ph-,-jowng,ping,pʰjowŋ¹,*pʰ(r)oŋ,point of a weapon,1197u,"64210,08",167,7,U+92D2
豐,丰,fēng,feng1,feng,1,phjuwng,ph-,-juwng,ping,pʰjuwŋ¹,*pʰ(r)oŋ (MC F!),kind of ritual vessel,1014a,"63569,02",151,11,U+8C50
封,封,fēng,feng1,feng,1,pjowng,p-,-jowng,ping,pjowŋ¹,*p(r)oŋ,raise a mound; enfeoff,1197i,"10504,14",41,6,U+5C01
風,风,fēng,feng1,feng,1,pjuwng,p-,-juwng,ping,pjuwŋ¹,*prəm,wind (n.),0625h,"74480,01",182,0,U+98A8
縫,缝,féng,feng2,feng,2,bjowng,b-,-jowng,ping,bjowŋ¹,*(mə-)[b](r)oŋ (~ *C.[b](r)oŋ),sew,1197x,"53437,22",120,11,U+7E2B
逢,逢,féng,feng2,feng,2,bjowng,b-,-jowng,ping,bjowŋ¹,*[C.b](r)oŋ,encounter (v.),1197o,"63844,02",162,7,U+9022
覂,覂,fěng,feng3,feng,3,pjowngX,p-,-jowng,shang,pjowŋ²,*p(r)omʔ (dialect: *-om > *-oŋ),overturn (no pre-Hàn exx.),0641-,"42807,04",146,5,U+8982
奉,奉,fèng,feng4,feng,4,bjowngX,b-,-jowng,shang,bjowŋ²,*m-pʰ(r)oŋʔ,present (v.) with both hands,1197z,"10531,05",37,5,U+5949
縫,缝,fèng,feng4,feng,4,bjowngH,b-,-jowng,qu,bjowŋ³,*C.[b](r)oŋ-s,seam,1197x,"53437,22",120,11,U+7E2B
奉,奉,fèng,feng4,feng,4,phjowngX,ph-,-jowng,shang,pʰjowŋ²,*pʰ(r)oŋʔ,hold with both hands; to present; receive,1197z,"10531,05",37,5,U+5949
賵,賵,fèng,feng4,feng,4,phjuwngH,ph-,-juwng,qu,pʰjuwŋ³,*[pʰ](r)u[ŋ]-s,gift in aid of burial,1253a,"63652,07",154,9,U+8CF5
風,风,fèng,feng4,feng,4,pjuwngH,p-,-juwng,qu,pjuwŋ³,*prəm-s,blow; criticize,0625h,"74480,01",182,0,U+98A8
諷,讽,fèng,feng4,feng,4,pjuwngH,p-,-juwng,qu,pjuwŋ³,*prəm-s,to recite,0625o,"64000,1",149,9,U+8AF7
缶,缶,fǒu,fou3,fou,3,pjuwX,p-,-juw,shang,pjuw²,*p(r)uʔ,earthenware,1107a,"52935,01",121,0,U+7F36
否,否,fǒu,fou3,fou,3,pjuwX,p-,-juw,shang,pjuw²,*pəʔ,not,0999e,"10586,05",30,4,U+5426
鋪,铺,fū,fu1,fu,1,phju,ph-,-ju,ping,pʰju¹,*pʰ(r)a,spread out,0102h',"64204,12",167,7,U+92EA
敷,敷,fū,fu1,fu,1,phju,ph-,-ju,ping,pʰju¹,*pʰ(r)a,spread widely,0102t',"21473,07",66,11,U+6577
夫,夫,fū,fu1,fu,1,pju,p-,-ju,ping,pju¹,*p(r)a,man,0101a,"10521,01",37,1,U+592B
膚,肤,fū,fu1,fu,1,pju,p-,-ju,ping,pju¹,*pra,skin,0069g,"32107,05",130,11,U+819A
怫,怫,fú,fu2,fu,2,bj+jH,b-,-j+j,qu,bjɨj³,*[b][u]t-s,grieved,0500o,"42288,03",61,5,U+602B
幞,幞,fú,fu2,fu,2,bjowk,b-,-jowk,ru,bjowk⁴,*[b](r)ok,kerchief (Shuōwén),1211-,"10754,01",50,12,U+5E5E
符,符,fú,fu2,fu,2,bju,b-,-ju,ping,bju¹,*[b](r)o,a tally,0136m,"52956,06",118,5,U+7B26
夫,夫,fú,fu2,fu,2,bju,b-,-ju,ping,bju¹,*[b]a,"this, that",0101a,"10521,01",37,1,U+592B
夫,夫,fú,fu2,fu,2,bju,b-,-ju,ping,bju¹,*ba,final particle,0101a,"10521,01",37,1,U+592B
扶,扶,fú,fu2,fu,2,bju,b-,-ju,ping,bju¹,*m-[p](r)a,crawl,0101f,"31833,02",64,4,U+6276
扶,扶,fú,fu2,fu,2,bju,b-,-ju,ping,bju¹,*m-[p](r)a,assist,0101f,"31833,02",64,4,U+6276
佛,佛,fú,fu2,fu,2,bjut,b-,-jut,ru,bjut⁴,*[b][u]t,great,0500l,"10140,03",9,5,U+4F5B
怫,怫,fú,fu2,fu,2,bjut,b-,-jut,ru,bjut⁴,*[b][u]t,"grieved, annoyed",0500o,"42288,03",61,5,U+602B
咈,咈,fú,fu2,fu,2,bjut,b-,-jut,ru,bjut⁴,*[m-p][u]t,oppose,0500m,"10609,07",30,5,U+5488
枹,枹,fú,fu2,fu,2,bjuw,b-,-juw,ping,bjuw¹,*[b](r)u,drum stick,1113k,"21187,05",75,5,U+67B9
蜉,蜉,fú,fu2,fu,2,bjuw,b-,-juw,ping,bjuw¹,*[b](r)u,mayfly,1233n,"42857,03",142,7,U+8709
浮,浮,fú,fu2,fu,2,bjuw,b-,-juw,ping,bjuw¹,*m.b(r)u,float (v.),1233l,"31629,04",85,7,U+6D6E
伏,伏,fú,fu2,fu,2,bjuwH,b-,-juw,qu,bjuw³,*[b]ək-s,hatch (v.),0935a,"10119,04",9,4,U+4F0F
畐,畐,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,fullness,0933a,"42531,14",102,4,U+7550
匐,匐,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,crawl (bu.bjuwk),0933m,"10260,05",20,9,U+5310
𠬝,𠬝,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,subdue; submit,0934a,"10391,02",29,2,U+20B1D
服,服,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,quiver (n.),0934d,"32053,07",74,4,U+670D
服,服,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,garment; wear (v.),0934d,"32053,07",74,4,U+670D
服,服,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,"subdue, submit",0934d,"32053,07",74,4,U+670D
箙,箙,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,a quiver,0934g,"52984,11",118,8,U+7B99
伏,伏,fú,fu2,fu,2,bjuwk,b-,-juwk,ru,bjuwk⁴,*[b]ək,lie prostrate,0935a,"10119,04",9,4,U+4F0F
匐,匐,fú,fu2,fu,2,bok,b-,-ok,ru,bok⁴,*[b]ˤək (< *[b]ˤuk ?),crawl,0933m,"10260,05",20,9,U+5310
刜,刜,fú,fu2,fu,2,phjut,ph-,-jut,ru,pʰjut⁴,*pʰ[u]t,chop (v.),0500f,"10331,08",18,5,U+521C
拂,拂,fú,fu2,fu,2,phjut,ph-,-jut,ru,pʰjut⁴,*pʰ[u]t,"to brush, shake",0500h,"31859,04",64,5,U+62C2
彿,彿,fú,fu2,fu,2,phjut,ph-,-jut,ru,pʰjut⁴,*pʰ[u]t,phjangX.phjut seem,0500i,"20817,08",60,5,U+5F7F
茀,茀,fú,fu2,fu,2,phjut,ph-,-jut,ru,pʰjut⁴,*pʰ[u]t,shrubby,0500k,"53197,11",140,5,U+8300
艴,艴,fú,fu2,fu,2,phjut,ph-,-jut,ru,pʰjut⁴,*pʰ[u]t,annoyed looks,0500p,"53072,05",139,5,U+8274
幅,幅,fú,fu2,fu,2,pik,p-,-ik,ru,pik⁴,*p<r>ək,strap around the leg,0933k,"10746,13",50,9,U+5E45
弗,弗,fú,fu2,fu,2,pjut,p-,-jut,ru,pjut⁴,*p[u]t,(negation),0500a,"20990,09",57,2,U+5F17
茀,茀,fú,fu2,fu,2,pjut,p-,-jut,ru,pjut⁴,*p[u]t,remove dense vegetation,0500k,"53197,11",140,5,U+8300
紱,绂,fú,fu2,fu,2,pjut,p-,-jut,ru,pjut⁴,*put,silk band for a seal,0276k,"53379,09",120,5,U+7D31
弗,弗,fú,fu2,fu,2,pjut,p-,-jut,ru,pjut⁴,*put,gust of wind,0500a,"20990,09",57,2,U+5F17
弗,弗,fú,fu2,fu,2,pjut,p-,-jut,ru,pjut⁴,*put,"writing brush (pron. in Yān 燕, ap. Shuōwén, E. Hàn)",0500a,"20990,09",57,2,U+5F17
福,福,fú,fu2,fu,2,pjuwk,p-,-juwk,ru,pjuwk⁴,*pək,blessing,0933d,"42404,03",113,9,U+798F
輻,辐,fú,fu2,fu,2,pjuwk,p-,-juwk,ru,pjuwk⁴,*pək,spokes of a wheel,0933j,"53543,11",159,9,U+8F3B
幅,幅,fú,fu2,fu,2,pjuwk,p-,-juwk,ru,pjuwk⁴,*pək,strap around the leg,0933k,"10746,13",50,9,U+5E45
幅,幅,fú,fu2,fu,2,pjuwk,p-,-juwk,ru,pjuwk⁴,*pək,width (of cloth); wide,0933k,"10746,13",50,9,U+5E45
輔,辅,fǔ,fu3,fu,3,bjuX,b-,-ju,shang,bju²,*[b](r)aʔ,help,0102v,"53533,03",159,7,U+8F14
腐,腐,fǔ,fu3,fu,3,bjuX,b-,-ju,shang,bju²,*[b](r)oʔ,rotten,0136n,"52933,03",130,8,U+8150
撫,抚,fǔ,fu3,fu,3,phjuX,ph-,-ju,shang,pʰju²,*[pʰ](r)aʔ,lay the hand on,0103p,"31958,06",64,12,U+64AB
鈇,鈇,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,axe,0101e,"64174,05",167,4,U+9207
父,父,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,(respectful suffix in male names),0102a,"32039,01",88,0,U+7236
斧,斧,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,axe,0102h,"32023,1",69,4,U+65A7
甫,甫,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,begin,0102n,"10020,01",101,2,U+752B
脯,脯,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,dried meat,0102r,"32076,03",130,7,U+812F
簠,簠,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)aʔ,(a kind of ritual vessel),0102u,"53013,22",118,12,U+7C20
府,府,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*p(r)oʔ,repository,0136c,"20877,15",53,5,U+5E9C
甫,甫,fǔ,fu3,fu,3,pjuX,p-,-ju,shang,pju²,*praʔ,great,0102n,"10020,01",101,2,U+752B
縛,缚,fù,fu1,fu,1,bjak,b-,-jak,ru,bjak⁴,*bak,bind (v.),0771m,"53434,13",120,10,U+7E1B
父,父,fù,fu1,fu,1,bjuX,b-,-ju,shang,bju²,*[N-p](r)aʔ,father,0102a,"32039,01",88,0,U+7236
附,附,fù,fu1,fu,1,bjuH,b-,-ju,qu,bju³,*N-p(r)oʔ-s,be attached to,0136k,"64122,02",170,5,U+9644
傅,傅,fù,fu1,fu,1,bjuH,b-,-ju,qu,bju³,*[b](r)[a]-s,be attached,0102u',"10201,05",9,10,U+5085
阜,阜,fù,fu1,fu,1,bjuwX,b-,-juw,shang,bjuw²,*[b](r)uʔ,big mound,1108a,"64114,01",170,0,U+961C
服,服,fù,fu1,fu,1,bjuwX,b-,-juw,shang,bjuw²,*[b]əʔ,box of a carriage,0934d,"32053,07",74,4,U+670D
負,负,fù,fu1,fu,1,bjuwX,b-,-juw,shang,bjuw²,*[b]əʔ,carry on the back,1000a,"63623,04",154,2,U+8CA0
婦,妇,fù,fu1,fu,1,bjuwX,b-,-juw,shang,bjuw²,*mə.bəʔ (or *tsə.-? see Min),"woman, wife",1001a,"21062,06",38,8,U+5A66
復,复,fù,fu1,fu,1,bjuwH,b-,-juw,qu,bjuw³,*[N]-pruk-s,again,1034d,"20834,02",60,9,U+5FA9
复,复,fù,fu1,fu,1,bjuwk,b-,-juwk,ru,bjuwk⁴,*m-p(r)uk,return,1034a,"20869,06",35,6,U+590D
復,复,fù,fu1,fu,1,bjuwk,b-,-juwk,ru,bjuwk⁴,*m-p(r)uk,return,1034d,"20834,02",60,9,U+5FA9
輹,輹,fù,fu1,fu,1,bjuwk,b-,-juwk,ru,bjuwk⁴,*m-p(r)uk,support under box of carriage,1034g,"53545,06",159,9,U+8F39
𠠦,𠠦,fù,fu1,fu,1,peak,p-,-eak,ru,pɛk⁴,*pˤrək,"slit, cut open",0933q,"10363,02",18,18,U+20826
副,副,fù,fu1,fu,1,phik,ph-,-ik,ru,pʰik⁴,*pʰrək,"split, cut open, cleave",0933s,"10347,16",18,9,U+526F
