traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
不,不,bù,bu1,bu,1,pjuw,p-,-juw,ping,pjuw¹,*pə,不律 writing brush (pron. in Wú 吳 ap. Shuōwén; E. Hàn),0999a,"10011,06",1,3,U+4E0D
布,布,bù,bu1,bu,1,puH,p-,-u,qu,pu³,*pˤa-s,cloth,0102j,"10728,05",50,2,U+5E03
才,才,cái,cai2,cai,2,dzoj,dz-,-oj,ping,ʣoj¹,*[dz]ˤə,"talent, ability",0943a,"31824,02",64,0,U+624D
材,材,cái,cai2,cai,2,dzoj,dz-,-oj,ping,ʣoj¹,*[dz]ˤə,timber,0943g,"21158,01",75,3,U+6750
財,财,cái,cai2,cai,2,dzoj,dz-,-oj,ping,ʣoj¹,*[dz]ˤə,wealth,0943h,"63624,07",154,3,U+8CA1
裁,裁,cái,cai2,cai,2,dzoj,dz-,-oj,ping,ʣoj¹,*[dz]ˤə,cut out clothes,0943c',"53086,02",145,6,U+88C1
采,采,cǎi,cai3,cai,3,tshojX,tsh-,-oj,shang,ʦʰoj²,*s.r̥ˤəʔ,"gather, pluck",0942a,"63898,02",165,1,U+91C7
采,采,cǎi,cai3,cai,3,tshojX,tsh-,-oj,shang,ʦʰoj²,*s.r̥ˤəʔ,colorful,0942a,"63898,02",165,1,U+91C7
彩,彩,cǎi,cai3,cai,3,tshojX,tsh-,-oj,shang,ʦʰoj²,*s.r̥ˤəʔ,colorful,0942a,"20855,03",59,8,U+5F69
採,采,cǎi,cai3,cai,3,tshojX,tsh-,-oj,shang,ʦʰoj²,*s.r̥ˤəʔ,"gather, pluck",0942d,"31901,01",64,8,U+63A1
蔡,蔡,cài,cai4,cai,4,tshajH,tsh-,-aj,qu,ʦʰaj³,*s.r̥̥ˤat-s,(name of a state),0337i,"53282,1",140,11,U+8521
菜,菜,cài,cai4,cai,4,tshojH,tsh-,-oj,qu,ʦʰoj³,*s.r̥ˤəʔ-s,vegetables,0942e,"53236,1",140,8,U+83DC
參,参,cān,can1,can,1,tshom,tsh-,-om,ping,ʦʰom¹,r̥ˤəʔ,accumulate,0647a,"10387,23",28,9,U+53C3
驂,骖,cān,can1,can,1,tshom,tsh-,-om,ping,ʦʰom¹,*m-sˤrum (should be *s.r̥ˤum),team of three horses,0647c,"74575,18",187,11,U+9A42
慚,惭,cán,can2,can,2,dzam,dz-,-am,ping,ʣam¹,*[dz]ˤam,ashamed,0611-,"42344,2",61,11,U+615A
慙,慙,cán,can2,can,2,dzam,dz-,-am,ping,ʣam¹,*[dz]ˤam,ashamed,0611c,"42341,09",61,11,U+6159
殘,残,cán,can2,can,2,dzan,dz-,-an,ping,ʣan¹,*[dz]ˤa[n],damage; hurt; cruel,0155c,"21389,04",78,8,U+6B98
蠶,蚕,cán,can2,can,2,dzom,dz-,-om,ping,ʣom¹,*C.[dz]ˤ[ə]m,silkworm,0660i,"42908,11",142,18,U+8836
粲,粲,càn,can4,can,4,tshanH,tsh-,-an,qu,ʦʰan³,*[tsʰ]ˤar-s,bright and white,0154b,"53148,14",119,7,U+7CB2
倉,仓,cāng,cang1,cang,1,tshang,tsh-,-ang,ping,ʦʰaŋ¹,*[s.r̥]ˤaŋ,tshang-kaeng 'oriole',0703a,"10169,15",9,8,U+5009
凔,凔,cāng,cang1,cang,1,tshang,tsh-,-ang,ping,ʦʰaŋ¹,*[tsʰ]ˤaŋ,cold,0703c,"10300,07",15,10,U+51D4
蒼,苍,cāng,cang1,cang,1,tshang,tsh-,-ang,ping,ʦʰaŋ¹,*[tsʰ]ˤaŋ,deep blue or green,0703e,"53266,1",140,10,U+84BC
倉,仓,cāng,cang1,cang,1,tshang,tsh-,-ang,ping,ʦʰaŋ¹,*tsʰˤaŋ,granary,0703a,"10169,15",9,8,U+5009
藏,藏,cáng,cang2,cang,2,dzang,dz-,-ang,ping,ʣaŋ¹,*m-tsʰˤaŋ,store (v.),0727g',"53311,11",140,14,U+85CF
操,操,cāo,cao1,cao,1,tshawX,tsh-,-aw,shang,ʦʰaw²,*[tsʰ]ˤawʔ,grasp (v.),1134m,"31969,03",64,13,U+64CD
